global_frame_idx,day_str,video_path,video_name,frame_idx_in_video,frame_time,timestamp_ms
100,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,100,20190701-000050000,1561932050000
101,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,101,20190701-000050500,1561932050500
102,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,102,20190701-000051000,1561932051000
103,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,103,20190701-000051500,1561932051500
104,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,104,20190701-000052000,1561932052000
105,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,105,20190701-000052500,1561932052500
106,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,106,20190701-000053000,1561932053000
107,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,107,20190701-000053500,1561932053500
108,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,108,20190701-000054000,1561932054000
109,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,109,20190701-000054500,1561932054500
110,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,110,20190701-000055000,1561932055000
111,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,111,20190701-000055500,1561932055500
112,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,112,20190701-000056000,1561932056000
113,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,113,20190701-000056500,1561932056500
114,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,114,20190701-000057000,1561932057000
115,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,115,20190701-000057500,1561932057500
116,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,116,20190701-000058000,1561932058000
117,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,117,20190701-000058500,1561932058500
118,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,118,20190701-000059000,1561932059000
119,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,119,20190701-000059500,1561932059500
120,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,120,20190701-000100000,1561932060000
121,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,121,20190701-000100500,1561932060500
122,20190701,D:/proyectos_github/SPT-stromboli-explosions-pipeline/data/samples/SPT_videos_sample/SPT_20190701/SPT_20190701-000000.avi,SPT_20190701-000000.avi,122,20190701-000101000,1561932061000
